Periodo,Anio,Filial,Causado,Causado Acum,Pagado,Deuda,Promedio,KPI
1,2022,GRUPO,15618572839,0,0,1.12224E+11,44016376908,2.549595094
2,2022,GRUPO,16283106928,0,0,1.27843E+11,44016376908,2.904430588
3,2022,GRUPO,14882169172,46783848939,23053769903,1.21072E+11,44016376908,2.750609137
4,2022,GRUPO,16450475533,0,71887714178,64066303498,45418152728,1.41058805
5,2022,GRUPO,16045800010,0,0,80516779031,45418152728,1.772788504
6,2022,GRUPO,17021263677,49517539220,51946710220,44615868821,45418152728,0.982335611
7,2022,GRUPO,16094231180,0,0,61637132498,46363735283,1.329425512
8,2022,GRUPO,16566074019,0,1581180825,76150182853,46363735283,1.64245142
9,2022,GRUPO,18093621353,50753926552,37407363633,55308893239,46363735283,1.192934368
10,2022,GRUPO,17981038220,0,10519437833,62883076759,47820185383,1.314990234
11,2022,GRUPO,17249610577,0,0,80864114980,47820185383,1.691003795
12,2022,GRUPO,18528105769,53758754567,35898123507,62215602050,47820185383,1.301032222
1,2023,GRUPO,18432701186,0,0,80743707819,50203517319,1.608327706
2,2023,GRUPO,19327379821,0,0,99176409005,50203517319,1.975487263
3,2023,GRUPO,21349537929,59109618937,0,1.18504E+11,50203517319,2.360467855
4,2023,GRUPO,20212588818,0,62408811860,77444514895,53284959819,1.453402896
5,2023,GRUPO,17326877104,0,26681284658,70975819056,53284959819,1.33200474
6,2023,GRUPO,19268743046,56808208968,0,88302696160,53284959819,1.65717862
7,2023,GRUPO,19082520263,0,18389049730,89182389476,55107627256,1.618331144
8,2023,GRUPO,19607354900,0,43491922430,64772987309,55107627256,1.175390604
9,2023,GRUPO,18482119054,57171994217,18561548815,65818793394,55107627256,1.194368124
10,2023,GRUPO,18613433213,0,44823667969,39477244478,56712144172,0.696098606
11,2023,GRUPO,18735685956,0,17042462690,41048215002,56712144172,0.723799384
12,2023,GRUPO,18039891008,55389010177,9520513818,50263387139,56712144172,0.886289663
1,2024,GRUPO,17493260941,,19011281592,49291997122,57119708075,0.862959542
2,2024,GRUPO,19432686904,,0,66785257497,57119708075,1.169215666
3,2024,GRUPO,19862775335,56788723181,28310910214,57907034187,57119708075,1.013783791
4,2024,GRUPO,19251618968,,16986546128,60783263395,56539484136,1.075058684
5,2024,GRUPO,19717390960,,48102393165,31932489197,56539484136,0.564782111
6,2024,GRUPO,19562733513,58531743441,0,51594216080,56539484136,0.912534256
7,2024,GRUPO,18598602305,,0,71156949593,56956451735,1.249322025
8,2024,GRUPO,20831058502,,3393653039,86361898859,56956451735,1.516279477
9,2024,GRUPO,19707715467,59137376274,0,1.07193E+11,56956451735,1.882016068
10,2024,GRUPO,19126015610,,0,124507336075,57160211735,2.18
11,2024,GRUPO,20476273253,59251609278,0,143633351685,57750612255,2.51
12,2025,GRUPO,19273807105,58546046017,0,163779574987,57160211735,2.87
1,2025,GRUPO,0,39750080359,0,183053382093,57949470696,3.16
